x1,x2,x3,target
12.68,22.84,-46.82,med
25.49,5.48,-10.63,med
25.13,7.57,-33.63,med
18.87,12.47,-57.47,med
75.43,6.59,-1.45,med
29.1,8.28,-49.2,med
64.09,5.85,-53.07,med
66.22,11.14,4.77,med
54.43,6.39,-25.65,med
53.16,2.95,-13.42,med
66.73,5.93,-32.68,med
31.25,9.22,6.64,med
6.18,8.33,-4.72,med
52.9,15.69,-5.22,med
63.21,6.02,-2.06,med
71.37,5.55,-59.51,med
71.9,5.66,-41.45,med
-1.13,5.92,-19.54,med
19.26,5.31,-58.77,med
26.42,7.76,-13.3,med
25.86,11.71,3.6,med
46.27,21.0,-42.04,med
32.73,5.09,-43.09,med
42.27,6.67,-50.08,med
64.01,10.82,5.61,med
54.12,3.51,-1.94,med
44.16,4.95,-24.41,med
32.5,3.77,-37.26,med
60.1,15.13,-34.18,med
84.95,6.64,-39.59,med
78.6,4.63,-37.71,med
-4.43,5.26,-32.34,med
16.81,5.9,2.81,med
39.39,10.64,5.91,med
69.53,4.24,-32.7,med
2.49,8.63,8.0,med
53.53,16.17,-15.29,med
28.18,2.95,-36.4,med
16.88,8.1,9.9,med
72.35,15.95,-48.02,med
72.73,12.6,-58.63,med
49.72,23.06,-33.06,med
13.64,10.4,-27.98,med
54.19,12.11,-26.79,med
45.83,5.01,-9.44,med
44.23,4.05,-15.09,med
0.16,10.57,-30.31,med
74.95,4.12,-23.01,med
79.77,18.92,-58.21,med
78.31,20.29,-24.82,med
18.71,4.85,-22.85,med
13.66,10.07,-7.96,med
44.42,6.34,-49.46,med
58.06,3.12,-9.04,med
25.02,9.63,7.99,med
42.07,8.27,-46.93,med
91.97,2.48,-6.96,med
87.28,8.15,-4.06,med
48.5,4.22,-37.55,med
20.06,4.73,-45.92,med
60.83,10.46,-1.14,med
70.07,7.11,-44.85,med
92.95,6.66,-8.95,med
33.02,8.59,-43.45,med
2.2,5.7,-20.42,med
37.29,9.89,-11.41,med
44.04,5.44,-45.03,med
75.32,10.08,9.66,med
48.62,17.84,-8.12,med
54.7,22.32,-44.72,med
27.59,1.68,-32.11,med
52.32,9.41,4.49,med
71.57,0.5,-22.95,med
60.48,10.36,-1.61,med
13.19,5.51,-14.95,med
77.74,6.59,-52.36,med
31.12,10.63,-27.72,med
35.02,4.87,-9.36,med
44.24,4.25,-37.54,med
1.79,5.08,-57.61,med
53.93,13.03,-54.28,med
68.09,3.94,-24.48,med
58.65,9.32,4.4,med
67.78,6.3,-45.8,med
92.18,10.37,3.86,med
82.8,7.94,-2.4,med
33.98,30.59,-28.62,med
62.37,19.1,-51.26,med
84.36,5.9,0.12,med
46.44,2.02,-8.21,med
57.65,15.96,-35.12,med
61.61,9.06,-35.78,med
38.66,5.48,-2.38,med
61.79,7.13,-52.4,med
89.31,2.84,-57.75,med
29.85,6.32,4.21,med
25.16,6.62,-34.92,med
86.85,23.57,-6.37,med
72.7,4.82,-10.61,med
78.43,8.63,3.34,med
14.58,6.87,-51.44,med
57.86,10.37,-59.0,med
79.25,23.91,-2.98,med
52.54,12.42,3.33,med
44.42,5.69,-30.01,med
55.95,2.96,-14.21,med
31.14,3.34,2.17,med
23.38,6.9,5.4,med
33.15,3.98,-50.72,med
52.07,8.72,-54.63,med
81.11,26.68,-35.77,med
9.9,7.01,-24.25,med
1.47,7.02,-58.83,med
15.96,13.45,-53.63,med
9.03,2.32,-7.59,med
-3.98,20.6,0.89,med
75.0,6.31,-20.48,med
58.01,6.41,-6.96,med
28.22,19.81,-19.34,med
25.82,13.68,-31.83,med
13.49,5.47,-49.57,med
48.3,9.59,-46.55,med
27.93,4.41,9.99,med
60.03,11.88,5.33,med
16.29,5.3,-44.94,med
40.38,8.99,-12.31,med
11.14,9.59,-48.15,med
64.64,6.06,-38.81,med
24.87,5.49,-8.62,med
27.23,11.09,-26.8,med
44.01,3.59,-53.5,med
66.25,10.95,-14.6,med
73.97,13.65,-26.93,med
6.24,5.81,-16.94,med
71.16,9.05,5.4,med
36.96,6.65,-21.42,med
43.31,9.39,-46.43,med
71.53,7.36,-56.16,med
2.36,13.17,-49.81,med
28.36,10.49,-39.99,med
69.4,24.4,-5.02,med
35.67,16.38,-33.09,med
85.81,9.84,-12.35,med
64.16,7.76,1.49,med
8.82,9.01,-34.36,med
44.29,3.3,-56.22,med
74.29,17.27,0.01,med
45.79,11.35,-52.89,med
30.56,8.2,-23.84,med
62.47,14.21,-27.67,med
64.44,8.14,-49.06,med
32.2,5.85,-36.96,med
46.12,14.05,-32.86,med
58.49,6.0,-37.84,med
26.23,3.16,2.37,med
25.87,6.51,-9.34,med
86.97,4.61,-28.86,med
43.11,6.61,-16.1,med
68.92,15.6,-58.42,med
68.07,7.34,-47.72,med
2.66,5.15,-10.31,med
81.41,14.62,-3.49,med
82.81,4.66,5.44,med
41.9,20.13,-11.37,med
67.86,3.26,-14.64,med
6.37,11.23,-6.24,med
53.54,10.82,9.92,med
11.83,7.47,-15.61,med
45.57,10.15,5.52,med
5.42,5.06,-6.9,med
30.27,4.8,7.56,med
83.58,13.89,-5.4,med
19.67,8.21,-40.66,med
34.71,12.66,-2.21,med
63.47,26.21,-47.1,med
64.77,6.33,-12.39,med
77.4,11.48,-39.31,med
77.9,15.81,-39.96,med
44.16,11.81,-15.23,med
43.8,9.2,-42.49,med
19.35,14.84,-50.33,med
13.14,15.3,-48.51,med
60.06,8.77,-25.68,med
9.58,7.72,-29.58,med
77.77,6.02,-22.64,med
68.2,6.08,-37.23,med
61.74,12.37,-8.77,med
36.94,6.86,-32.37,med
-4.16,8.66,-38.36,med
25.44,6.53,-20.95,med
88.54,9.59,-34.23,med
66.41,9.24,-43.97,med
44.31,3.6,-20.0,med
30.51,17.44,-2.82,med
3.24,12.51,-52.64,med
39.41,5.72,-31.3,med
87.88,6.45,-51.94,med
90.39,11.91,-31.69,med
7.72,17.38,-15.91,med
11.06,4.99,-48.48,med
57.95,13.99,-6.21,med
17.61,5.39,-12.69,med
30.51,2.65,-35.4,med
42.14,11.5,8.39,med
72.38,2.09,-52.41,med
21.7,8.47,-37.22,med
70.79,4.85,-27.5,med
45.0,2.41,-11.0,med
-5.23,3.35,-31.42,med
38.59,12.7,-16.46,med
75.85,6.91,-35.47,med
51.21,7.15,-26.99,med
82.61,17.55,-40.01,med
78.97,5.84,-56.76,med
77.01,10.6,-58.08,med
61.14,9.01,-35.97,med
4.48,2.15,-16.43,med
15.26,8.82,9.85,med
66.05,7.89,-1.28,med
37.48,9.64,-44.65,med
86.87,14.64,-26.0,med
-19.5,11.69,-59.48,med
72.98,4.65,-14.39,med
7.91,20.78,-50.42,med
23.98,7.37,-38.7,med
31.59,7.19,-39.35,med
63.2,6.25,-50.63,med
55.41,13.29,-2.77,med
36.09,2.39,-6.06,med
75.19,6.54,-56.1,med
86.19,13.23,-6.36,med
84.24,8.31,-0.7,med
18.36,17.62,-58.83,med
54.85,4.01,7.06,med
20.43,2.91,-14.53,med
64.56,7.94,-3.0,med
26.33,3.31,6.24,med
20.57,7.59,-56.45,med
10.55,8.92,-11.32,med
46.96,7.81,-55.82,med
49.36,7.13,-22.44,med
83.77,4.66,-20.25,med
29.06,2.5,2.24,med
27.86,11.13,-58.86,med
36.06,2.94,-15.68,med
48.22,8.44,-23.12,med
14.68,6.77,-20.02,med
71.23,4.73,-47.22,med
61.99,7.22,-49.29,med
46.56,14.15,-8.75,med
13.71,12.75,-33.51,med
58.24,4.52,1.23,med
59.81,1.35,-21.05,med
72.44,8.46,-31.79,med
47.77,7.95,-47.59,med
46.96,4.97,-37.14,med
53.5,6.0,-7.4,med
26.46,8.45,-1.94,med
72.56,7.17,-11.89,med
19.04,4.17,-57.97,med
64.35,6.31,-6.42,med
46.78,16.95,-34.97,med
73.92,14.82,-55.13,med
23.94,6.63,-57.67,med
9.32,8.03,5.47,med
43.08,6.4,-11.82,med
29.45,5.93,-38.76,med
56.5,8.41,-4.92,med
13.98,7.93,-1.6,med
20.45,6.5,-28.52,med
42.58,10.1,-40.57,med
38.25,15.84,-6.68,med
19.59,2.77,4.11,med
10.34,5.24,-33.69,med
32.43,0.67,-26.36,med
68.6,2.54,-50.48,med
30.22,17.74,-35.71,med
69.25,14.96,-45.5,med
38.18,2.36,-19.16,med
57.51,7.06,1.61,med
36.59,6.6,-1.8,med
40.88,13.6,-3.82,med
33.38,9.12,-56.02,med
88.05,10.67,7.76,med
38.66,3.66,-56.77,med
65.37,8.54,8.69,med
17.27,2.32,-39.29,med
85.26,9.52,-0.78,med
90.9,7.94,-33.1,med
8.93,3.76,5.05,med
37.76,5.6,-5.64,med
2.83,4.09,-1.68,med
29.47,3.5,-28.87,med
76.0,13.79,-29.03,med
63.01,7.08,-53.7,med
82.37,14.97,-25.62,med
33.43,4.59,-34.42,med
34.0,9.75,-30.67,med
7.69,4.82,9.32,med
74.08,11.77,-31.42,med
80.63,5.87,-23.15,med
52.73,14.43,-15.56,med
57.54,10.65,-13.96,med
63.55,1.73,5.25,med
71.12,4.3,-41.09,med
48.84,17.25,-8.99,med
11.22,13.15,-4.91,med
71.97,9.53,-24.57,med
57.84,7.18,-43.33,med
49.97,6.06,-10.01,med
78.64,11.96,-59.03,med
32.68,3.16,-35.17,med
48.95,6.64,-3.42,med
-5.94,22.17,-32.18,med
8.15,11.01,-27.38,med
53.66,10.61,-31.32,med
7.73,2.45,-55.54,med
53.46,3.35,6.83,med
71.97,7.35,-41.79,med
43.55,9.84,4.43,med
52.83,13.96,0.5,med
77.37,8.23,-1.31,med
80.52,19.46,-4.81,med
46.77,3.05,-35.24,med
39.69,15.74,-40.26,med
56.59,6.78,-10.74,med
14.1,5.46,-33.44,med
7.97,6.77,-40.02,med
17.1,3.83,-16.09,med
58.26,4.49,-44.94,med
63.4,7.9,-30.86,med
63.31,11.26,-18.49,med
83.16,8.58,-48.3,med
66.91,4.06,-19.86,med
28.19,6.72,5.42,med
62.24,2.05,-13.56,med
77.23,6.82,-6.7,med
55.41,5.02,-39.61,med
44.95,7.25,-32.83,med
1.21,2.88,-31.4,med
13.22,3.45,-32.97,med
-10.41,5.44,-58.2,med
59.46,12.32,-27.48,med
42.36,6.32,-53.05,med
58.04,2.85,-22.13,med
71.98,8.87,-40.02,med
34.52,7.67,-32.56,med
25.52,6.63,1.98,med
64.59,4.49,-6.15,med
56.18,20.43,-48.78,med
13.05,16.48,-28.08,med
13.01,5.97,7.89,med
32.03,14.81,-55.93,med
-6.74,11.92,-24.23,med
41.37,9.35,-8.7,med
21.63,11.73,-29.44,med
54.89,13.59,5.47,med
69.51,6.48,-30.93,med
79.48,10.27,-15.31,med
11.12,11.84,-44.54,med
46.16,8.14,-34.16,med
27.67,8.65,0.35,med
32.52,5.66,-10.69,med
74.36,8.39,2.1,med
40.81,18.77,-18.28,med
25.13,8.15,-28.06,med
47.21,6.52,-56.46,med
48.4,11.28,-12.87,med
70.41,5.71,-4.95,med
71.36,16.39,-8.44,med
65.04,21.69,-27.39,med
-3.53,6.69,-32.67,med
76.07,16.88,-23.68,med
63.54,9.87,-19.02,med
60.94,12.41,-8.97,med
42.34,17.15,-54.3,med
70.08,5.24,-38.97,med
41.32,17.38,-9.14,med
28.64,5.32,-37.36,med
22.47,2.46,-15.57,med
2.23,18.48,0.75,med
62.16,4.1,-52.77,med
64.32,1.56,-0.1,med
20.35,3.73,-52.98,med
87.04,6.87,-24.58,med
6.37,7.07,-0.85,med
85.87,14.45,-26.94,med
64.6,9.6,-44.25,med
73.78,11.87,-50.94,med
67.06,12.79,-37.74,med
23.38,2.72,-38.79,med
19.2,5.55,-17.64,med
7.93,6.98,-41.78,med
57.1,11.28,-6.44,med
30.46,9.61,-46.02,med
17.07,10.64,-59.38,med
60.77,6.44,-24.53,med
31.84,4.5,6.25,med
29.54,2.44,-15.98,med
66.1,4.76,-24.02,med
72.47,8.05,5.17,med
29.07,7.05,-25.17,med
95.97,5.53,-41.37,med
66.95,1.48,-58.42,med
20.56,3.2,-6.67,med
3.95,6.37,-4.64,med
73.63,9.76,-12.18,med
85.82,17.11,-47.63,med
73.69,19.84,-55.39,med
78.77,7.48,1.71,med
37.97,1.91,-48.62,med
26.67,10.13,-48.0,med
52.86,7.81,-10.04,med
33.79,5.55,-59.72,med
71.79,5.57,-3.78,med
14.86,10.66,-25.09,med
21.17,16.49,-51.04,med
73.89,4.27,-31.67,med
76.01,11.55,-38.0,med
1.0,5.92,-56.77,med
32.96,3.08,-31.89,med
47.49,10.99,-48.08,med
76.28,5.56,-30.87,med
35.79,18.68,-15.75,med
46.98,17.13,-34.14,med
17.59,3.22,-22.95,med
31.93,12.81,-19.27,med
56.2,11.91,-25.91,med
73.51,2.91,5.51,med
47.55,2.66,-37.26,med
-0.91,8.08,-9.77,med
34.17,7.8,-50.36,med
10.1,7.24,-0.07,med
12.56,16.4,-37.45,med
7.89,6.88,-27.42,med
6.31,27.16,-26.81,med
18.96,8.94,4.04,med
38.54,6.33,3.56,med
11.45,10.83,-40.44,med
49.86,4.51,3.24,med
68.33,7.47,-42.97,med
19.2,3.66,-59.38,med
24.02,5.65,1.77,med
71.73,1.09,-31.27,med
75.57,11.12,-4.28,med
21.97,4.94,-36.74,med
6.66,10.72,-40.25,med
60.1,6.03,-46.17,med
2.24,8.72,-20.53,med
54.79,14.12,-43.96,med
23.36,19.66,-57.13,med
58.98,7.8,-39.75,med
52.68,6.08,-57.44,med
45.15,10.44,-50.58,med
49.17,7.66,3.07,med
33.71,11.16,6.75,med
13.13,8.58,-36.38,med
5.71,12.87,2.88,med
66.58,22.12,-31.67,med
29.9,9.21,-12.59,med
40.67,9.48,-32.52,med
49.42,8.5,-6.01,med
81.85,7.23,-3.57,med
46.21,24.1,5.86,med
-3.8,3.11,-25.29,med
2.3,4.2,-51.7,med
80.91,4.83,-14.55,med
35.9,5.64,-50.45,med
45.91,10.89,-48.33,med
80.34,4.89,-41.74,med
66.88,7.82,-11.16,med
37.06,12.28,-43.68,med
68.37,11.33,-36.91,med
59.48,11.9,-52.12,med
55.92,11.05,-54.77,med
28.29,12.13,5.2,med
2.86,19.75,-34.04,med
44.65,8.84,-22.53,med
30.81,10.11,-28.36,med
33.84,7.07,-26.61,med
66.35,14.38,-18.79,med
58.09,13.41,-34.21,med
30.91,11.56,-12.13,med
37.04,6.04,-14.94,med
61.16,4.29,-18.1,med
63.61,11.19,-9.99,med
76.8,8.78,-17.98,med
34.15,7.88,-24.91,med
30.8,9.15,-47.35,med
4.78,6.45,-29.8,med
42.92,9.71,-53.44,med
71.41,12.83,-19.1,med
29.43,7.86,-10.98,med
18.97,12.44,-29.83,med
17.08,5.07,-28.37,med
49.32,5.05,-23.06,med
6.03,7.93,9.14,med
69.9,3.17,-10.76,med
51.7,8.97,-9.41,med
46.23,2.64,-43.68,med
8.04,4.57,-56.85,med
71.93,11.14,-29.02,med
44.02,21.04,-43.52,med
7.41,4.76,1.53,med
23.36,13.15,0.64,med
55.33,7.37,6.77,med
1.24,10.11,-56.81,med
67.65,7.85,-15.48,med
70.92,12.37,7.16,med
37.46,6.04,-39.06,med
10.19,12.22,-13.76,med
4.99,3.9,9.5,med
77.93,3.27,0.72,med
66.17,14.34,-59.69,med
64.29,2.15,-4.58,med
76.62,7.56,-57.09,med
50.96,9.94,-24.48,med
11.65,6.95,-39.47,med
13.25,6.52,5.77,med
40.67,7.74,-47.38,med
72.38,5.59,-10.84,med
43.6,7.71,-20.22,med
71.67,1.98,-12.12,med
21.69,5.35,-20.4,med
23.51,1.12,-27.34,med
35.14,5.1,-20.37,med
64.26,3.47,-45.97,med
55.31,10.82,-59.21,med
61.36,7.89,-34.37,med
63.11,5.04,-10.75,med
80.66,10.5,-2.75,med
67.29,12.35,-40.6,med
62.48,3.14,5.51,med
52.44,18.01,-52.81,med
57.77,12.96,-4.53,med
72.81,18.81,-51.98,med
28.91,24.1,-19.25,med
41.51,7.44,-47.26,med
57.02,6.64,-8.88,med
42.45,16.7,-27.07,med
52.06,10.83,1.02,med
71.56,7.11,6.64,med
51.47,9.08,-54.22,med
68.47,4.79,-51.11,med
23.33,6.0,-54.79,med
61.09,11.19,-14.62,med
59.81,9.58,-22.92,med
19.06,8.22,-18.51,med
47.46,19.71,-26.94,med
59.28,9.94,-37.83,med
16.81,7.03,-12.48,med
14.26,2.76,6.45,med
79.79,16.12,-35.02,med
26.24,1.91,-37.6,med
73.25,33.51,-24.4,med
50.28,7.12,-41.04,med
2.05,6.96,-8.0,med
-0.32,8.66,-25.31,med
5.65,14.76,-20.99,med
71.68,9.9,-48.3,med
86.65,8.54,-30.38,med
77.26,10.14,2.97,med
90.24,8.48,-31.52,med
10.52,5.82,-34.42,med
2.71,7.32,-8.23,med
35.54,3.5,-18.94,med
63.17,9.04,7.58,med
33.62,10.66,2.16,med
-1.58,17.38,-51.6,med
23.16,17.69,-31.27,med
48.16,12.87,-42.82,med
83.87,10.56,-26.05,med
38.87,17.77,-32.36,med
22.68,2.66,-5.61,med
51.78,1.06,6.99,med
56.97,9.29,-34.15,med
18.51,14.45,8.49,med
19.47,11.98,-4.58,med
78.23,17.3,-44.68,med
67.55,4.88,-48.61,med
3.42,2.16,3.0,med
50.46,6.11,4.51,med
45.56,10.38,-16.57,med
-9.49,22.77,-17.05,med
-3.14,10.22,-46.56,med
58.72,14.9,-39.53,med
30.96,3.75,1.83,med
38.71,7.12,-50.43,med
44.66,2.12,3.91,med
10.98,10.21,-23.87,med
24.76,4.46,-15.93,med
55.43,6.76,-22.22,med
29.32,11.04,-57.89,med
2.45,7.65,3.07,med
56.06,2.62,5.45,med
48.4,9.97,9.59,med
46.39,13.98,-30.08,med
5.37,6.3,-56.64,med
36.89,7.18,9.04,med
10.72,13.06,1.39,med
54.23,7.16,-4.39,med
83.14,3.57,-55.57,med
56.64,11.61,-23.18,med
13.61,8.81,-53.91,med
84.59,3.59,-12.15,med
70.06,10.93,-2.81,med
61.41,7.07,1.39,med
59.12,12.46,-10.02,med
8.21,9.23,-38.65,med
78.61,13.6,-50.54,med
39.49,8.17,-49.78,med
51.31,10.58,-28.93,med
61.12,8.53,-20.86,med
12.66,9.92,1.01,med
-1.39,19.07,-42.56,med
85.93,8.04,-40.03,med
67.7,8.86,-17.38,med
17.82,2.11,5.77,med
43.05,3.36,-1.33,med
82.23,5.49,-9.34,med
66.47,7.8,-21.83,med
13.27,9.73,-26.89,med
61.55,15.84,-23.47,med
43.03,6.76,-54.66,med
92.71,15.39,-47.66,med
89.61,2.29,-48.38,med
90.35,4.01,-38.62,med
17.06,1.67,-51.43,med
43.44,0.5,-43.44,med
10.42,7.73,6.26,med
8.77,12.46,-21.71,med
78.21,9.07,-10.28,med
2.32,9.51,-4.31,med
61.69,23.64,-42.91,med
57.17,7.16,-10.01,med
40.77,19.12,-57.73,med
31.96,6.07,-56.18,med
13.62,9.76,-55.9,med
65.25,5.12,-29.69,med
74.42,8.27,-56.0,med
49.34,10.7,-41.2,med
10.7,8.52,-4.98,med
14.05,6.54,-54.39,med
50.34,18.38,-9.48,med
20.75,8.08,-30.67,med
44.08,8.67,-57.48,med
67.47,4.26,-58.33,med
46.62,5.41,-21.88,med
18.72,7.56,-20.87,med
62.22,7.46,-1.8,med
48.29,12.22,-13.2,med
26.27,4.92,-15.95,med
8.65,9.59,-57.95,med
46.68,12.17,-45.8,med
37.73,6.45,2.25,med
21.72,2.77,-58.03,med
74.64,7.15,-33.59,med
33.45,10.75,2.59,med
41.23,10.67,-10.53,med
62.87,3.73,-11.12,med
46.4,7.25,-32.29,med
77.99,1.63,-5.16,med
36.04,16.95,-52.15,med
25.19,3.36,-51.5,med
69.74,4.42,-26.33,med
6.56,11.9,-7.66,med
45.26,4.34,-21.27,med
24.25,25.75,-32.95,med
6.34,8.14,-58.89,med
76.38,5.5,-58.72,med
45.55,9.39,-13.48,med
48.81,8.28,4.87,med
58.47,6.34,-59.85,med
12.0,1.38,-16.54,med
11.19,4.21,-53.9,med
30.68,5.7,-40.78,med
45.45,11.55,-15.66,med
46.89,6.55,-16.56,med
13.43,1.0,-42.71,med
10.04,5.47,6.08,med
-5.24,11.99,-49.89,med
48.2,11.26,-43.16,med
46.77,1.44,-55.52,med
-3.96,11.3,-32.24,med
9.23,12.63,-5.34,med
47.69,6.26,-42.74,med
2.49,11.94,-36.93,med
0.25,12.56,-52.03,med
37.38,15.8,-39.15,med
13.19,11.21,-2.51,med
8.87,9.63,-41.12,med
56.34,16.49,-15.33,med
14.61,2.52,-44.83,med
46.27,4.76,-48.72,med
0.45,6.03,-23.89,med
42.05,7.78,-5.49,med
27.79,8.19,-9.91,med
58.29,3.16,-3.99,med
37.35,17.24,-50.01,med
23.55,6.71,-54.59,med
67.91,5.92,-35.88,med
89.16,8.56,-20.6,med
45.64,4.51,-15.41,med
26.77,3.91,3.52,med
59.5,11.56,-50.51,med
58.55,16.89,-46.01,med
75.48,16.05,-4.56,med
4.98,11.45,-6.05,med
10.67,9.39,-16.76,med
14.88,2.76,-41.73,med
43.09,4.76,-0.68,med
2.9,13.08,-8.3,med
26.47,2.28,-37.45,med
68.82,2.98,-55.19,med
47.09,5.45,-32.12,med
71.84,5.31,-18.48,med
48.2,17.94,6.63,med
38.85,13.8,-54.67,med
86.84,10.25,-12.87,med
11.79,7.95,-18.53,med
46.58,3.21,-23.01,med
70.41,12.09,-0.03,med
5.19,15.51,-50.6,med
45.91,4.46,-31.77,med
70.86,2.45,-32.04,med
86.56,5.47,-2.2,med
80.6,11.04,-53.38,med
64.62,13.46,0.12,med
12.89,4.15,0.65,med
